model_id,pathogen_type,n_obs,n_countries,r_squared,adj_r_squared,consumption_included,vaccination_included,sdi_included,predictors,sample_warning,version,date_added
primary_with_consumption,bacterial,16,5,0.9967453510223565,0.9918633775558913,True,True,True,burden_midpoint_weighted;mean_evolutionary_fitness_slope;health_expenditure_pct_gdp;hospital_beds_per_1000;gbd_sdi;parsed_year;hib3_coverage_pct;pcvc_coverage_pct;antimicrobial_consumption_ddd,small_sample_not_for_causal_claims,v1,2026-07-18
no_consumption,bacterial,57,19,0.9104603975468475,0.8955371304713221,False,True,True,burden_midpoint_weighted;mean_evolutionary_fitness_slope;health_expenditure_pct_gdp;hospital_beds_per_1000;gbd_sdi;parsed_year;hib3_coverage_pct;pcvc_coverage_pct,,v1,2026-07-18
no_vaccination,bacterial,21,7,0.9905260747431609,0.9854247303740937,True,False,True,burden_midpoint_weighted;mean_evolutionary_fitness_slope;health_expenditure_pct_gdp;hospital_beds_per_1000;gbd_sdi;parsed_year;antimicrobial_consumption_ddd,small_sample_not_for_causal_claims,v1,2026-07-18
primary_no_consumption,fungal,269,36,0.6383946780157068,0.6301136401076696,False,False,True,burden_midpoint_weighted;mean_evolutionary_fitness_slope;health_expenditure_pct_gdp;hospital_beds_per_1000;gbd_sdi;parsed_year,,v1,2026-07-18
no_sdi,fungal,269,36,0.17454213313999478,0.1588490178004509,False,False,False,burden_midpoint_weighted;mean_evolutionary_fitness_slope;health_expenditure_pct_gdp;hospital_beds_per_1000;parsed_year,,v1,2026-07-18
