pathogen_type,iso3_country,parsed_year,life_expectancy,burden_midpoint_weighted,quality_gate,gate_reason,version,date_added
bacterial,RUS,2015,71.18341463414635,0.1624418513533695,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,RUS,2016,71.65121951219513,0.1533137583892617,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SAU,2015,77.776,0.0892857142857142,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SAU,2016,78.354,0.1934931506849315,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SAU,2017,78.721,0.195906432748538,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SGP,2016,82.84634146341465,0.2579710144927536,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SGP,2017,83.09512195121954,0.2818532818532818,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SRB,2014,75.33658536585367,0.3619474416985729,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SRB,2015,75.28780487804879,0.3511609602518694,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SVK,2015,76.56341463414634,0.2341057363116186,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,SVK,2016,77.16585365853659,0.2591540404040404,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUN,2015,74.875,0.475,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUN,2016,75.007,0.323943661971831,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUN,2017,75.177,0.3114525139664804,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUN,2018,75.37,0.175028636884307,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUN,2020,75.004,0.2083333333333333,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUN,2021,72.893,0.2212301587301587,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2015,76.539,0.3697916666666667,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2016,76.595,0.2224838140082401,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2017,77.037,0.1998152059134107,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2018,77.454,0.1875,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2019,77.737,0.2103174603174603,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2020,76.525,0.1409161490683229,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,TUR,2021,75.722,0.1805194805194805,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2014,71.803,0.1359536082474226,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2015,72.686,0.1168613018743908,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2016,73.389,0.1105479892473007,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2017,73.993,0.1811224489795918,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2018,73.569,0.0714285714285714,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2019,73.92,0.0779220779220779,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2020,73.283,0.0795031055900621,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,UKR,2021,71.631,0.0659340659340659,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,VNM,2016,73.984,0.6328411172161172,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,VNM,2017,74.026,0.6441932499790877,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,VNM,2018,74.1,0.670037646711449,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,VNM,2020,75.383,0.632429614181439,pass,interpretable_burden_majority,v1,2026-07-20
bacterial,VNM,2021,74.145,0.6310018050541516,pass,interpretable_burden_majority,v1,2026-07-20
