vaccine,target_organism,iso3_country,introduction_year,life_expectancy_pre_window_mean,life_expectancy_post_window_mean,life_expectancy_change_post_minus_pre,resistance_rate_pre_window_mean,resistance_rate_post_window_mean,resistance_rate_change_post_minus_pre,n_amr_years_pre_window,n_amr_years_post_window,resistance_window_status,pre_window_years,post_window_years,estimation_method,version,date_added
HIB,Haemophilus influenzae,ISR,2000,78.40365853658537,79.98211382113821,1.5784552845528452,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,ITA,2000,79.19999999999999,80.51544715447156,1.3154471544715705,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,JPN,2011,82.88707317073171,83.7888617886179,0.9017886178861829,,,,0,0,no_amr_surveillance_in_either_window,2009 to 2010,2014 to 2016,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,KEN,2001,55.975,58.50533333333333,2.5303333333333313,,,,0,0,no_amr_surveillance_in_either_window,1999 to 2000,2004 to 2006,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,KHM,2010,66.447,69.09,2.6430000000000007,,,,0,0,no_amr_surveillance_in_either_window,2008 to 2009,2013 to 2015,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,KOR,2013,80.69390243902441,82.50975609756098,1.815853658536568,,,,0,0,no_amr_surveillance_in_either_window,2011 to 2012,2016 to 2018,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,KWT,2000,76.02112195121953,76.72434146341465,0.703219512195119,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,LBN,2003,74.595,76.455,1.8599999999999994,,,,0,0,no_amr_surveillance_in_either_window,2001 to 2002,2006 to 2008,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,MAR,2007,68.9525,71.25266666666667,2.3001666666666694,,,,0,0,no_amr_surveillance_in_either_window,2005 to 2006,2010 to 2012,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,MEX,2000,71.9975,73.45566666666667,1.4581666666666706,,,,0,0,no_amr_surveillance_in_either_window,1998 to 1999,2003 to 2005,descriptive_before_after_not_causal_did,v1,2026-07-08
HIB,Haemophilus influenzae,NGA,2012,51.4025,52.175000000000004,0.7725000000000009,,,,0,0,no_amr_surveillance_in_either_window,2010 to 2011,2015 to 2017,descriptive_before_after_not_causal_did,v1,2026-07-08
