canonical_organism,canonical_drug,drug_class,dosing_variant,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CHL,2017,Respiratory: Sputum,4,4,0,0,4,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CHL,2017,Respiratory: Transtracheal aspirate,15,15,3,0,12,1.0,0.2,0.2,0.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2016,Respiratory: Bronchoalveolar lavage,7,7,3,0,4,1.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2016,Respiratory: Sputum,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2017,CVS: Blood,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2017,HEENT: Middle ear,4,4,0,0,4,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2017,Respiratory: Bronchoalveolar lavage,29,29,10,0,19,1.0,0.3448275862068966,0.3448275862068966,0.0,0.3448275862068966,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2017,Respiratory: Sinuses,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2017,Respiratory: Sputum,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CRI,2017,Respiratory: Transtracheal aspirate,4,4,1,0,3,1.0,0.25,0.25,0.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2014,CVS: Blood,1,1,0,0,1,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2014,HEENT: Middle ear,3,3,0,0,3,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2014,Respiratory: Bronchoalveolar lavage,4,4,0,0,4,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2014,Respiratory: Endotracheal aspirate,3,3,0,0,3,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2014,Respiratory: Sinuses,2,2,0,0,2,1.0,0.0,0.0,0.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2014,Respiratory: Sputum,8,8,1,0,7,1.0,0.125,0.125,0.0,0.125,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2015,CVS: Blood,32,32,9,0,23,1.0,0.28125,0.28125,0.0,0.28125,False,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2015,HEENT: Middle ear,21,21,3,0,18,1.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2015,Respiratory: Bronchoalveolar lavage,9,9,2,0,7,1.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,True,v1,2026-07-08
Haemophilus influenzae,amoxicillin,Aminopenicillin,,CZE,2015,Respiratory: Endotracheal aspirate,20,20,5,0,15,1.0,0.25,0.25,0.0,0.25,True,v1,2026-07-08
